city,year,weekofyear,total_cases
iq,2013,11,11
iq,2013,12,15
iq,2013,13,12
iq,2013,14,8
iq,2013,15,8
iq,2013,16,11
iq,2013,17,8
iq,2013,18,1
iq,2013,19,10
iq,2013,20,6
iq,2013,21,5
iq,2013,22,6
iq,2013,23,7
iq,2013,24,5
iq,2013,25,4
iq,2013,26,6
